,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
2,BB McCullum,74.0,39,6,5,189.74358974358972,JW Dernbach,['MJ Lumb'],caught,BB McCullum,2013-02-12,England,New Zealand,0,Seddon Park
2,BB McCullum,26.0,20,3,0,130.0,JC Tredwell,['JM Bairstow'],caught,BB McCullum,2013-02-15,England,England,0,Westpac Stadium
2,BB McCullum,68.0,51,7,2,133.33333333333331,LJ Wright,0,bowled,BB McCullum,2013-06-25,New Zealand,New Zealand,0,Kennington Oval
2,BB McCullum,60.0,45,2,4,133.33333333333331,notOut,notOut,notOut,notOut,2014-01-11,West Indies,New Zealand,0,Eden Park
2,BB McCullum,17.0,11,2,1,154.54545454545453,SP Narine,0,lbw,BB McCullum,2014-01-15,West Indies,New Zealand,0,Westpac Stadium
2,BB McCullum,16.0,6,1,2,266.66666666666663,notOut,notOut,notOut,notOut,2014-03-22,New Zealand,New Zealand,0,Zahur Ahmed Chowdhury Stadium
2,BB McCullum,4.0,5,0,0,80.0,Imran Tahir,['Q de Kock'],stumped,BB McCullum,2014-03-24,South Africa,South Africa,0,Zahur Ahmed Chowdhury Stadium
2,BB McCullum,65.0,45,4,3,144.44444444444443,T van der Gugten,['Mudassar Bukhari'],caught,BB McCullum,2014-03-29,New Zealand,New Zealand,0,Zahur Ahmed Chowdhury Stadium
2,BB McCullum,0.0,5,0,0,0.0,HMRKB Herath,['KC Sangakkara'],stumped,BB McCullum,2014-03-31,Sri Lanka,Sri Lanka,0,Zahur Ahmed Chowdhury Stadium
2,BB McCullum,40.0,36,3,1,111.11111111111111,DJG Sammy,['DR Smith'],caught,BB McCullum,2014-07-05,New Zealand,New Zealand,0,"Windsor Park, Roseau"
2,BB McCullum,21.0,16,2,1,131.25,S Badree,['LMP Simmons'],caught,BB McCullum,2014-07-06,New Zealand,West Indies,0,"Windsor Park, Roseau"
2,BB McCullum,35.0,15,2,4,233.33333333333334,MA Wood,0,bowled,BB McCullum,2015-06-23,New Zealand,England,0,Old Trafford
4,BJ Watling,22.0,36,1,0,61.111111111111114,Saeed Ajmal,['Kamran Akmal'],stumped,BJ Watling,2009-11-12,Pakistan,Pakistan,0,Dubai International Cricket Stadium
1,BJ Watling,7.0,10,1,0,70.0,Sohail Tanvir,['Kamran Akmal'],caught,BJ Watling,2009-11-13,Pakistan,Pakistan,0,Dubai International Cricket Stadium
5,BJ Watling,8.0,12,1,0,66.66666666666666,A Dananjaya,['LD Chandimal'],caught,BJ Watling,2012-10-30,New Zealand,0,0,Pallekele International Cricket Stadium
6,BJ Watling,1.0,2,0,0,50.0,SP Narine,"['DJG Sammy', 'D Ramdin']",run out,BJ Watling,2014-07-06,New Zealand,West Indies,0,"Windsor Park, Roseau"
8,BM Wheeler,6.0,6,1,0,100.0,Imran Tahir,0,bowled,BM Wheeler,2017-02-17,South Africa,South Africa,0,Eden Park
4,C Munro,23.0,18,4,0,127.77777777777777,CH Morris,0,caught and bowled,C Munro,2012-12-21,New Zealand,South Africa,0,Kingsmead
3,C Munro,8.0,7,0,0,114.28571428571428,notOut,notOut,notOut,notOut,2012-12-23,New Zealand,New Zealand,0,Buffalo Park
3,C Munro,3.0,10,0,0,30.0,R McLaren,['Q de Kock'],caught,C Munro,2012-12-26,New Zealand,South Africa,0,St George's Park
4,C Munro,28.0,19,0,3,147.36842105263156,SCJ Broad,0,bowled,C Munro,2013-02-09,England,England,0,Eden Park
4,C Munro,7.0,9,1,0,77.77777777777779,JW Dernbach,['JM Bairstow'],caught,C Munro,2013-02-12,England,New Zealand,0,Seddon Park
5,C Munro,1.0,3,0,0,33.33333333333333,SCJ Broad,['JE Root'],caught,C Munro,2013-02-15,England,England,0,Westpac Stadium
3,C Munro,73.0,40,3,5,182.5,notOut,notOut,notOut,notOut,2013-11-06,New Zealand,New Zealand,0,Shere Bangla National Stadium
4,C Munro,17.0,19,2,0,89.47368421052632,NLTC Perera,['KMDN Kulasekara'],caught,C Munro,2013-11-21,New Zealand,Sri Lanka,0,Pallekele International Cricket Stadium
4,C Munro,22.0,12,1,2,183.33333333333331,TL Best,['ADS Fletcher'],caught,C Munro,2014-01-11,West Indies,New Zealand,0,Eden Park
4,C Munro,5.0,6,0,0,83.33333333333334,AD Russell,['NO Miller'],caught,C Munro,2014-01-15,West Indies,New Zealand,0,Westpac Stadium
4,C Munro,7.0,9,1,0,77.77777777777779,Imran Tahir,['HM Amla'],caught,C Munro,2014-03-24,South Africa,South Africa,0,Zahur Ahmed Chowdhury Stadium
4,C Munro,1.0,2,0,0,50.0,BA Stokes,0,bowled,C Munro,2015-06-23,New Zealand,England,0,Old Trafford
5,C Munro,23.0,11,3,1,209.0909090909091,notOut,notOut,notOut,notOut,2015-08-09,New Zealand,New Zealand,0,Harare Sports Club
4,C Munro,0.0,1,0,0,0.0,D Wiese,['AB de Villiers'],caught,C Munro,2015-08-14,New Zealand,South Africa,0,Kingsmead
6,C Munro,18.0,8,3,1,225.0,K Rabada,['AB de Villiers'],caught,C Munro,2015-08-16,New Zealand,New Zealand,0,SuperSport Park
3,C Munro,36.0,26,2,2,138.46153846153845,KMDN Kulasekara,0,caught and bowled,C Munro,2016-01-07,Sri Lanka,New Zealand,0,Bay Oval
2,C Munro,50.0,15,1,7,333.33333333333337,notOut,notOut,notOut,notOut,2016-01-10,Sri Lanka,New Zealand,0,Eden Park
3,C Munro,56.0,27,2,6,207.4074074074074,Wahab Riaz,0,bowled,C Munro,2016-01-15,Pakistan,Pakistan,0,Eden Park
3,C Munro,4.0,3,0,0,133.33333333333331,notOut,notOut,notOut,notOut,2016-01-22,Pakistan,New Zealand,0,Westpac Stadium
1,C Munro,7.0,6,0,1,116.66666666666667,A Nehra,['HH Pandya'],caught,C Munro,2016-03-15,New Zealand,New Zealand,0,"Vidarbha Cricket Association Stadium, Jamtha"
2,C Munro,23.0,27,2,0,85.18518518518519,MR Marsh,['JP Faulkner'],caught,C Munro,2016-03-18,New Zealand,New Zealand,0,Himachal Pradesh Cricket Association Stadium
2,C Munro,7.0,6,1,0,116.66666666666667,Shahid Afridi,['Khalid Latif'],caught,C Munro,2016-03-22,Pakistan,New Zealand,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2,C Munro,35.0,33,1,2,106.06060606060606,Al-Amin Hossain,0,bowled,C Munro,2016-03-26,New Zealand,New Zealand,0,Eden Gardens
2,C Munro,46.0,34,7,1,135.29411764705884,LE Plunkett,['MM Ali'],caught,C Munro,2016-03-30,New Zealand,England,0,Feroz Shah Kotla
2,C Munro,0.0,2,0,0,0.0,Mustafizur Rahman,['Nurul Hasan'],caught,C Munro,2017-01-03,Bangladesh,New Zealand,0,McLean Park
1,C Munro,101.0,54,7,7,187.03703703703704,Rubel Hossain,['Nurul Hasan'],caught,C Munro,2017-01-06,Bangladesh,New Zealand,0,Bay Oval
2,C Munro,0.0,3,0,0,0.0,Rubel Hossain,['Soumya Sarkar'],caught,C Munro,2017-01-08,Bangladesh,New Zealand,0,Bay Oval
2,C Munro,0.0,1,0,0,0.0,CH Morris,0,bowled,C Munro,2017-02-17,South Africa,South Africa,0,Eden Park
3,C de Grandhomme,8.0,7,1,0,114.28571428571428,E Chigumbura,0,bowled,C de Grandhomme,2012-02-14,Zimbabwe,New Zealand,0,Seddon Park
4,C de Grandhomme,2.0,3,0,0,66.66666666666666,M Morkel,['RE Levi'],caught,C de Grandhomme,2012-02-17,South Africa,New Zealand,0,Westpac Stadium
5,C de Grandhomme,3.0,7,0,0,42.857142857142854,notOut,notOut,notOut,notOut,2012-02-19,South Africa,South Africa,0,Seddon Park
5,C de Grandhomme,41.0,22,3,3,186.36363636363635,notOut,notOut,notOut,notOut,2017-01-03,Bangladesh,New Zealand,0,McLean Park
5,C de Grandhomme,2.0,2,0,0,100.0,Rubel Hossain,0,bowled,C de Grandhomme,2017-01-06,Bangladesh,New Zealand,0,Bay Oval
5,C de Grandhomme,4.0,3,0,0,133.33333333333331,notOut,notOut,notOut,notOut,2017-01-08,Bangladesh,New Zealand,0,Bay Oval
5,C de Grandhomme,15.0,8,0,2,187.5,Imran Tahir,['JP Duminy'],caught,C de Grandhomme,2017-02-17,South Africa,South Africa,0,Eden Park
4,CD McMillan,9.0,9,0,1,100.0,JR Hopes,['MEK Hussey'],caught,CD McMillan,2005-02-17,Australia,Australia,0,Eden Park
4,CD McMillan,15.0,19,1,0,78.94736842105263,N Boje,['A Nel'],caught,CD McMillan,2005-10-21,New Zealand,New Zealand,0,New Wanderers Stadium
5,CD McMillan,2.0,5,0,0,40.0,SL Malinga,"['LPC Silva', 'SL Malinga']",run out,CD McMillan,2007-09-15,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
5,CD McMillan,44.0,23,1,4,191.30434782608697,notOut,notOut,notOut,notOut,2007-09-16,New Zealand,New Zealand,0,New Wanderers Stadium
5,CD McMillan,57.0,31,3,4,183.8709677419355,AD Mascarenhas,['DL Maddy'],run out,SB Styris,2007-09-18,New Zealand,New Zealand,0,Kingsmead
6,CD McMillan,57.0,31,3,4,183.8709677419355,DL Maddy,['AD Mascarenhas'],caught,CD McMillan,2007-09-18,New Zealand,New Zealand,0,Kingsmead
4,CD McMillan,48.0,26,2,4,184.6153846153846,notOut,notOut,notOut,notOut,2007-09-19,New Zealand,South Africa,0,Kingsmead
4,CD McMillan,12.0,6,1,1,200.0,Fawad Alam,['Younis Khan'],caught,CD McMillan,2007-09-22,Pakistan,Pakistan,0,Newlands
5,CJ Anderson,5.0,5,1,0,100.0,CH Morris,['RE Levi'],caught,CJ Anderson,2012-12-21,New Zealand,South Africa,0,Kingsmead
8,CJ Anderson,12.0,9,1,0,133.33333333333331,notOut,notOut,notOut,notOut,2012-12-26,New Zealand,South Africa,0,St George's Park
