bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
CJ Gannon,2,14,0,0,7.0,2013-12-22,Perth Scorchers,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
CJ Gannon,4,36,0,2,9.0,2013-12-28,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
CJ Gannon,4,43,0,0,10.75,2013-12-30,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
CJ Gannon,4,24,0,4,6.0,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
CJ Gannon,2,10,0,5,5.0,2014-01-08,Brisbane Heat,Brisbane Heat,0,Stadium Australia
CJ Gannon,4,35,0,2,8.75,2014-01-11,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
CJ Gannon,2,11,0,3,5.5,2014-01-18,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
CJ Gannon,4,42,0,3,10.5,2014-01-23,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
CJ Gannon,4,47,0,1,11.75,2014-12-21,Brisbane Heat,Sydney Thunder,0,Stadium Australia
CJ Gannon,2,32,0,2,16.0,2015-01-04,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
CJ Gannon,3,37,0,1,12.333333333333334,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
CJM Sabburg,1,5,0,0,5.0,2014-01-11,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
CR Swan,4,16,0,1,4.0,2012-01-17,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,27,0,0,6.75,2012-01-12,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
DL Vettori,4,23,0,1,5.75,2012-01-17,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,21,0,1,5.25,2013-12-22,Perth Scorchers,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,32,0,2,8.0,2013-12-28,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,20,0,1,5.0,2013-12-30,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
DL Vettori,4,25,0,1,6.25,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,25,0,0,6.25,2014-01-08,Brisbane Heat,Brisbane Heat,0,Stadium Australia
DL Vettori,4,10,0,2,2.5,2014-01-18,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
DL Vettori,4,42,0,0,10.5,2014-01-23,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
DL Vettori,4,37,0,0,9.25,2014-12-21,Brisbane Heat,Sydney Thunder,0,Stadium Australia
DL Vettori,4,28,0,1,7.0,2014-12-28,Melbourne Stars,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,46,0,0,11.5,2015-01-02,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
DL Vettori,3,23,0,0,7.666666666666667,2015-01-04,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
DL Vettori,4,27,0,0,6.75,2015-01-08,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
DT Christian,4,20,0,1,5.0,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
DT Christian,4,42,0,1,10.5,2011-12-20,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,4,27,0,2,6.75,2011-12-29,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
DT Christian,4,21,0,1,5.25,2012-01-12,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
DT Christian,4,17,0,1,4.25,2012-01-17,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,2,23,0,0,11.5,2012-12-09,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,4,42,0,0,10.5,2012-12-13,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
DT Christian,1,21,0,0,21.0,2012-12-18,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,4,27,0,0,6.75,2012-12-22,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
DT Christian,4,26,0,6,6.5,2012-12-28,Brisbane Heat,Brisbane Heat,0,Stadium Australia
DT Christian,3,21,0,2,7.0,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,2,24,0,1,12.0,2013-01-19,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
DT Christian,2,28,0,0,14.0,2013-02-04,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
DT Christian,2,29,0,1,14.5,2013-12-28,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,4,43,0,2,10.75,2013-12-30,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
DT Christian,2,18,0,0,9.0,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,1,6,0,0,6.0,2014-01-08,Brisbane Heat,Brisbane Heat,0,Stadium Australia
DT Christian,1,5,0,0,5.0,2014-01-11,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,2,19,0,0,9.5,2014-12-21,Brisbane Heat,Sydney Thunder,0,Stadium Australia
DT Christian,2,12,0,1,6.0,2014-12-28,Melbourne Stars,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,1,14,0,0,14.0,2015-01-02,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
DT Christian,1,13,0,0,13.0,2015-01-04,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,4,25,0,1,6.25,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
DT Christian,4,13,0,2,3.25,2015-01-13,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
DT Christian,4,48,0,2,12.0,2015-01-15,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JA Burns,1,10,0,0,10.0,2017-01-20,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
JA Burns,2,17,0,1,8.5,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
JD Wildermuth,2,27,0,0,13.5,2016-12-21,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
JD Wildermuth,4,40,0,2,10.0,2016-12-28,Brisbane Heat,Brisbane Heat,0,Sydney Showground Stadium
JD Wildermuth,3,26,0,2,8.666666666666666,2016-12-30,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JD Wildermuth,2,16,0,1,8.0,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
JD Wildermuth,4,32,0,1,8.0,2017-01-05,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
JD Wildermuth,4,29,0,1,7.25,2017-01-11,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
JD Wildermuth,4,32,0,1,8.0,2017-01-17,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
JD Wildermuth,3,33,0,0,11.0,2017-01-20,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
JD Wildermuth,3,33,0,1,11.0,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
JK Lalor,2,18,0,0,9.0,2015-12-19,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
JK Lalor,4,32,0,1,8.0,2015-12-22,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
JK Lalor,3,19,0,0,6.333333333333333,2015-12-26,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
JK Lalor,3,22,0,0,7.333333333333333,2015-12-29,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
JK Lalor,4,33,0,2,8.25,2016-01-03,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JK Lalor,4,33,0,0,8.25,2016-01-08,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
JK Lalor,4,26,0,1,6.5,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
JK Lalor,4,21,0,2,5.25,2016-01-14,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
JR Hopes,3,29,0,1,9.666666666666666,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
JR Hopes,2,30,0,1,15.0,2012-12-09,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,1,5,0,0,5.0,2012-12-13,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
JR Hopes,1,6,0,1,6.0,2012-12-18,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,20,0,1,5.0,2012-12-22,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
JR Hopes,4,15,0,2,3.75,2012-12-28,Brisbane Heat,Brisbane Heat,0,Stadium Australia
JR Hopes,4,28,0,0,7.0,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,2,18,0,0,9.0,2013-12-22,Perth Scorchers,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,2,17,0,0,8.5,2013-12-28,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,26,0,0,6.5,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,26,0,2,6.5,2014-01-08,Brisbane Heat,Brisbane Heat,0,Stadium Australia
JR Hopes,4,23,0,3,5.75,2014-01-11,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,24,0,2,6.0,2014-01-18,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
JR Hopes,4,37,0,1,9.25,2014-01-23,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
JR Hopes,4,40,0,0,10.0,2014-12-21,Brisbane Heat,Sydney Thunder,0,Stadium Australia
JR Hopes,2,6,0,0,3.0,2014-12-28,Melbourne Stars,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,31,0,0,7.75,2015-01-02,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
JR Hopes,4,30,0,2,7.5,2015-01-04,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,2,14,0,0,7.0,2015-01-08,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
JR Hopes,3,23,0,2,7.666666666666667,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,8,1,2,2.0,2015-01-13,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
JR Hopes,4,32,0,1,8.0,2015-01-15,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,2,27,0,0,13.5,2015-12-19,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,3,37,0,0,12.333333333333334,2015-12-22,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
JR Hopes,4,33,0,1,8.25,2016-01-03,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,34,0,0,8.5,2016-01-08,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
JR Hopes,4,31,0,2,7.75,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
JR Hopes,4,17,0,0,4.25,2016-01-14,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
JS Floros,4,35,0,2,8.75,2015-01-02,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
JS Floros,2,18,0,0,9.0,2015-01-13,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
JS Floros,2,12,0,0,6.0,2015-12-22,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
JS Floros,2,20,1,0,10.0,2015-12-26,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
JS Floros,1,5,0,0,5.0,2015-12-29,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
JS Floros,1,10,0,0,10.0,2016-01-08,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
JS Floros,1,10,0,1,10.0,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
JS Floros,3,40,0,0,13.333333333333334,2016-12-21,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
JS Floros,1,4,0,0,4.0,2016-12-28,Brisbane Heat,Brisbane Heat,0,Sydney Showground Stadium
JS Floros,1,16,0,0,16.0,2016-12-30,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
KAJ Roach,1,5,0,0,5.0,2012-12-18,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
KAJ Roach,3,32,0,1,10.666666666666666,2012-12-22,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
KAJ Roach,4,26,0,0,6.5,2012-12-28,Brisbane Heat,Brisbane Heat,0,Stadium Australia
KAJ Roach,4,23,0,0,5.75,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
KAJ Roach,4,18,0,3,4.5,2013-01-19,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
KAJ Roach,4,31,0,1,7.75,2013-02-04,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
LW Feldman,4,53,0,1,13.25,2015-12-29,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
M Labuschagne,1,11,0,0,11.0,2017-01-17,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
M Labuschagne,2,25,0,1,12.5,2017-01-20,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
M Labuschagne,1,18,0,0,18.0,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
MG Neser,3,39,0,0,13.0,2011-12-20,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
MG Neser,3,23,0,2,7.666666666666667,2011-12-29,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
MG Neser,4,31,0,3,7.75,2012-01-12,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
MG Neser,4,22,0,1,5.5,2012-01-17,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
MJ Swepson,3,26,0,2,8.666666666666666,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
MJ Swepson,4,29,0,2,7.25,2016-01-14,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
MJ Swepson,3,26,0,1,8.666666666666666,2016-12-21,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
