bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
SCG MacGill,4,12,0,2,3.0,2012-01-10,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
SCG MacGill,4,36,0,1,9.0,2012-01-22,Sydney Sixers,Sydney Sixers,0,Bellerive Oval
SCG MacGill,4,20,0,1,5.0,2012-01-28,Sydney Sixers,Sydney Sixers,0,Western Australia Cricket Association Ground
SJC Keen,1,10,0,0,10.0,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
SMSM Senanayake,4,19,1,0,4.75,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
SNJ O'Keefe,4,20,0,3,5.0,2012-01-10,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
SNJ O'Keefe,4,30,0,1,7.5,2012-01-18,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
SNJ O'Keefe,1,5,0,0,5.0,2012-01-22,Sydney Sixers,Sydney Sixers,0,Bellerive Oval
SNJ O'Keefe,4,22,0,0,5.5,2012-01-28,Sydney Sixers,Sydney Sixers,0,Western Australia Cricket Association Ground
SNJ O'Keefe,2,18,0,0,9.0,2012-12-08,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
SNJ O'Keefe,4,35,0,1,8.75,2012-12-16,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
SNJ O'Keefe,3,24,0,1,8.0,2012-12-23,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
SNJ O'Keefe,2,18,0,0,9.0,2012-12-26,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
SNJ O'Keefe,4,21,0,3,5.25,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
SNJ O'Keefe,3,20,0,0,6.666666666666667,2013-12-21,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
SNJ O'Keefe,3,27,0,1,9.0,2013-12-29,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
SNJ O'Keefe,4,24,0,0,6.0,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
SNJ O'Keefe,2,18,0,1,9.0,2014-01-05,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
SNJ O'Keefe,1,12,0,0,12.0,2014-01-10,Perth Scorchers,0,tie,Sydney Cricket Ground
SNJ O'Keefe,4,33,0,1,8.25,2014-01-15,Hobart Hurricanes,Sydney Sixers,0,Sydney Cricket Ground
SNJ O'Keefe,4,22,0,1,5.5,2014-01-18,Sydney Sixers,Sydney Sixers,0,Docklands Stadium
SNJ O'Keefe,2,12,0,1,6.0,2014-01-25,Sydney Sixers,Sydney Sixers,0,Stadium Australia
SNJ O'Keefe,4,24,0,0,6.0,2015-01-05,Sydney Sixers,0,tie,Melbourne Cricket Ground
SNJ O'Keefe,3,24,0,0,8.0,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
SNJ O'Keefe,4,21,0,1,5.25,2015-01-14,Adelaide Strikers,Adelaide Strikers,0,Sydney Cricket Ground
SNJ O'Keefe,4,27,0,0,6.75,2015-01-22,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
SNJ O'Keefe,2,17,0,2,8.5,2015-01-24,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
SNJ O'Keefe,2,13,0,0,6.5,2015-01-28,Sydney Sixers,Perth Scorchers,0,Manuka Oval
SNJ O'Keefe,4,17,0,2,4.25,2015-12-20,Hobart Hurricanes,Sydney Sixers,0,Sydney Cricket Ground
SNJ O'Keefe,4,24,0,1,6.0,2015-12-27,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
SNJ O'Keefe,4,16,0,1,4.0,2016-12-20,Sydney Sixers,Sydney Sixers,0,Sydney Showground Stadium
SNJ O'Keefe,4,31,0,1,7.75,2016-12-23,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
SNJ O'Keefe,4,23,0,1,5.75,2016-12-27,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
SP Narine,4,16,0,0,4.0,2012-12-16,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
SP Narine,4,27,0,0,6.75,2012-12-23,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
SP Narine,4,39,0,0,9.75,2012-12-26,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
SP Narine,4,23,0,1,5.75,2012-12-30,Sydney Sixers,Sydney Sixers,0,Stadium Australia
SPD Smith,2,25,0,1,12.5,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
SPD Smith,4,27,0,3,6.75,2011-12-27,Melbourne Stars,Sydney Sixers,0,Sydney Cricket Ground
SPD Smith,4,37,0,0,9.25,2012-01-02,Sydney Sixers,Melbourne Renegades,0,Docklands Stadium
SPD Smith,4,18,0,1,4.5,2012-01-10,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
SPD Smith,2,22,0,2,11.0,2012-01-22,Sydney Sixers,Sydney Sixers,0,Bellerive Oval
SPD Smith,2,16,0,0,8.0,2012-12-23,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
TA Copeland,2,16,0,0,8.0,2014-02-05,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
TL Lawford,3,27,0,0,9.0,2015-12-23,Sydney Sixers,Sydney Sixers,0,Docklands Stadium
TL Lawford,2,21,0,0,10.5,2015-12-27,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
WER Somerville,2,15,0,0,7.5,2016-01-02,Sydney Sixers,Perth Scorchers,0,Western Australia Cricket Association Ground
WER Somerville,2,10,0,2,5.0,2016-12-27,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
WER Somerville,4,22,0,1,5.5,2016-12-31,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
WER Somerville,4,35,0,0,8.75,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
