,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
3,DT Christian,11,7,0,1,157.14285714285714,N Wagner,['SD Parry'],caught,DT Christian,2016-06-04,Lancashire,Nottinghamshire,0,Trent Bridge
3,DT Christian,53,39,1,3,135.8974358974359,notOut,notOut,notOut,notOut,2016-06-18,Nottinghamshire,Nottinghamshire,0,"County Ground, New Road"
4,DT Christian,38,25,1,3,152.0,notOut,notOut,notOut,notOut,2016-06-24,Nottinghamshire,Nottinghamshire,0,County Ground
3,DT Christian,56,32,4,4,175.0,MA Ashraf,['JJ Cobb'],caught,DT Christian,2016-07-08,Nottinghamshire,Nottinghamshire,0,County Ground
3,DT Christian,12,8,0,1,150.0,SA Patterson,['A Lyth'],caught,DT Christian,2016-07-15,Yorkshire,Nottinghamshire,0,Trent Bridge
3,DT Christian,37,24,2,2,154.16666666666669,A Javid,0,lbw,DT Christian,2016-07-22,Nottinghamshire,Nottinghamshire,0,Edgbaston
3,DT Christian,54,16,4,6,337.5,notOut,notOut,notOut,notOut,2016-07-29,Leicestershire,Nottinghamshire,0,Trent Bridge
3,DT Christian,21,20,3,0,105.0,RN ten Doeschate,['GR Napier'],caught,DT Christian,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
3,DT Christian,2,7,0,0,28.57142857142857,Azharullah,['JJ Cobb'],caught,DT Christian,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
3,GP Smith,43,28,5,1,153.57142857142858,JS Patel,['SR Hain'],caught,GP Smith,2016-05-20,Warwickshire,Warwickshire,0,Trent Bridge
6,GP Smith,11,12,0,0,91.66666666666666,P Coughlin,['SG Borthwick'],caught,GP Smith,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
2,GP Smith,24,24,2,0,100.0,GA Edwards,0,bowled,GP Smith,2016-06-04,Lancashire,Nottinghamshire,0,Trent Bridge
5,GP Smith,0,1,0,0,0.0,BL D'Oliveira,0,bowled,GP Smith,2016-06-18,Nottinghamshire,Nottinghamshire,0,"County Ground, New Road"
2,GP Smith,12,11,1,1,109.09090909090908,A Carter,['AL Hughes'],run out,GP Smith,2016-06-24,Nottinghamshire,Nottinghamshire,0,County Ground
2,GP Smith,4,6,1,0,66.66666666666666,RJ Gleeson,['RJ Gleeson'],run out,GP Smith,2016-07-08,Nottinghamshire,Nottinghamshire,0,County Ground
2,GP Smith,32,27,2,1,118.5185185185185,notOut,notOut,notOut,notOut,2016-07-09,Worcestershire,Nottinghamshire,0,Trent Bridge
2,GP Smith,32,33,4,0,96.96969696969697,WMH Rhodes,['AU Rashid'],caught,GP Smith,2016-07-15,Yorkshire,Nottinghamshire,0,Trent Bridge
2,GP Smith,52,32,5,2,162.5,notOut,notOut,notOut,notOut,2016-07-22,Nottinghamshire,Nottinghamshire,0,Edgbaston
2,GP Smith,4,8,0,0,50.0,RJ Sayer,0,lbw,GP Smith,2016-07-29,Leicestershire,Nottinghamshire,0,Trent Bridge
2,GP Smith,50,34,7,1,147.05882352941177,RS Bopara,0,bowled,GP Smith,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
10,HF Gurney,0,1,0,0,0.0,P Coughlin,['U Arshad'],caught,HF Gurney,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
10,HF Gurney,5,4,1,0,125.0,notOut,notOut,notOut,notOut,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
9,JT Ball,1,2,0,0,50.0,U Arshad,0,bowled,JT Ball,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
8,JT Ball,1,2,0,0,50.0,GA Edwards,['LS Livingstone'],caught,JT Ball,2016-06-04,Lancashire,Nottinghamshire,0,Trent Bridge
9,JT Ball,2,5,0,0,40.0,notOut,notOut,notOut,notOut,2016-08-20,Northamptonshire,Northamptonshire,0,Edgbaston
7,L Wood,0,2,0,0,0.0,GR Napier,['RN ten Doeschate'],caught,L Wood,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
8,LJ Fletcher,3,5,0,0,60.0,notOut,notOut,notOut,notOut,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
9,LJ Fletcher,3,3,0,0,100.0,notOut,notOut,notOut,notOut,2016-06-04,Lancashire,Nottinghamshire,0,Trent Bridge
1,MH Wessels,52,42,4,2,123.80952380952381,JS Patel,0,bowled,MH Wessels,2016-05-20,Warwickshire,Warwickshire,0,Trent Bridge
1,MH Wessels,38,33,3,1,115.15151515151516,BJ McCarthy,['RD Pringle'],caught,MH Wessels,2016-06-01,Nottinghamshire,Durham,0,Riverside Ground
1,MH Wessels,58,31,7,3,187.09677419354838,J Clark,0,bowled,MH Wessels,2016-06-04,Lancashire,Nottinghamshire,0,Trent Bridge
0,MH Wessels,36,26,6,0,138.46153846153845,MM Ali,['EG Barnard'],caught,MH Wessels,2016-06-18,Nottinghamshire,Nottinghamshire,0,"County Ground, New Road"
0,MH Wessels,35,37,3,0,94.5945945945946,notOut,notOut,notOut,notOut,2016-06-24,Nottinghamshire,Nottinghamshire,0,County Ground
